query,tenant,reference_debit_note_number,ogPdi,ogInvoiceId,ogInvoiceNo,correctPdi
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7404 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5583,1010833123,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7405 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,16139,4707207354,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7406 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,7083,2003517612,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7407 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5872,1010824448,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7408 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5001,1010830748,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7409 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5631,1010822134,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7410 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,37433,1010829188,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7411 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,37662,1010840055,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7412 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5374,1010831840,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7413 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5257,1010829553,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7414 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,6654,2003513744,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7415 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,37668,1010841868,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7416 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5454,1010834428,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7417 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5816,1010824453,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7418 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5122,1010827898,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7419 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,6010,1010823720,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7420 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5186,1010827808,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7421 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,4866,1010825204,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7422 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,1651,1010843972,29947
