purchase_issue_id,source_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
14153,th407,"UPDATE th407.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14153 AND invoice_id = 20761 AND invoice_no = 'T0407-24A0000161';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14153 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37884 AND tenant = 'th407';",
14154,th407,"UPDATE th407.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14154 AND invoice_id = 20760 AND invoice_no = 'T0407-24A0000280';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14154 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37884 AND tenant = 'th407';",
295745,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 295745 AND invoice_id = 508659 AND invoice_no = 'T0205-23A0003803';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 295745 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37923 AND tenant = 'th205';",
295789,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 295789 AND invoice_id = 512849 AND invoice_no = 'T0205-24A0002255';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 295789 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 73034 AND tenant = 'th205';",
305384,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 305384 AND invoice_id = 514590 AND invoice_no = 'T0205-24A0013445';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 305384 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37879 AND tenant = 'th205';",
305385,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 305385 AND invoice_id = 514587 AND invoice_no = 'T0205-24A0013402';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 305385 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37879 AND tenant = 'th205';",
311452,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 311452 AND invoice_id = 506599 AND invoice_no = '3184547835';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 311452 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37882 AND tenant = 'th205';",
33454,th408,"UPDATE th408.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 33454 AND invoice_id = 37186 AND invoice_no = 'T0408-24A0000750';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 33454 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37916 AND tenant = 'th408';",
9976,th405,"UPDATE th405.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 9976 AND invoice_id = 27247 AND invoice_no = 'AR144-25-3';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 9976 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th405';",
11005,th405,"UPDATE th405.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 11005 AND invoice_id = 21862 AND invoice_no = 'T0405-24A0000559';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 11005 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 6880 AND tenant = 'th405';",
14642,th403,"UPDATE th403.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14642 AND invoice_id = 29143 AND invoice_no = 'AR126-25-56';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14642 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37916 AND tenant = 'th403';",
